Planet Name,    UT Start,    UT Stop, UT 1st Contact, UT 4th Contact, Err(min), Reason,Frac1,Frac2,V mag, J mag,H mag,K mag,Depth, B-V,Chart,Type
Kepler-746 b,2018/03/05 09:58,2018/03/05 12:54,2018/03/05 10:40,2018/03/05 12:30,15.2, OBJ SUN,1,0.796,-----,12.31,11.88,11.81,0.0001,-----,Finder,P
Kepler-1531 b, 2018/03/05 09:40, 2018/03/05 12:54, 2018/03/05 10:43, 2018/03/05 12:4,9     10.,8 N/A SUN,1,0.77, ----,- 12.14,11.88,11.77,0.0001, -----, Finder, P
Kepler-1566 b, 2018/03/05 10:33, 2018/03/05 12:50, 2018/03/05 11:07, 2018/03/05 12:1,6     12.,0 N/A N/A,1,1, ----,- 12.95,12.48,12.44,0.0001, -----, Finder, P
Kepler-889 b,2018/03/05 09:53,2018/03/05 12:54,2018/03/05 11:21,2018/03/05 14:18,17.4, N/A SUN,0.522,0.511,-----,11.64,11.38,11.33,0.0001,-----,Finder,P
Kepler-1547 b, 2018/03/05 10:52, 2018/03/05 12:54, 2018/03/05 11:25, 2018/03/05 12:3,0     10.,3 N/A SUN,1,0.935, ----,- 12.33,12.06,12,0.0001, -----, Finder, P
Kepler-607 b,2018/03/05 10:59,2018/03/05 12:54,2018/03/05 11:34,2018/03/05 12:45,12.7, N/A SUN,1,0.809,-----,12.96,12.5,12.43,0.0001,-----,Finder,P
Kepler-1346 b, 2018/03/05 10:54, 2018/03/05 12:54, 2018/03/05 11:48, 2018/03/05 13:3,6     16.,3 N/A SUN,0.61,0.555, ----,- 13.39,13.09,13.11,0.0001, -----, Finder, P
Kepler-1084 b, 2018/03/05 10:41, 2018/03/05 12:54, 2018/03/05 11:52, 2018/03/05 14:1,5      9.,7 N/A SUN,0.432,0.466, ----,- 11.18,10.9,10.84,0.0001, -----, Finder, P
Kepler-1311 c, 2018/03/06 09:33, 2018/03/06 12:37, 2018/03/06 06:42, 2018/03/06 10:3,9     19.,3 OBJ N/A,0.276,0.388, ----,- 12.17,11.86,11.82,0.0001, -----, Finder, P
Kepler-1338 b, 2018/03/06 09:17, 2018/03/06 10:34, 2018/03/06 08:15, 2018/03/06 09:4,7     14.,2 OBJ N/A,0.332,0.416, ----,- 12.50,12.19,12.11,0.0001, -----, Finder, P
Kepler-1264 b, 2018/03/06 09:31, 2018/03/06 10:42, 2018/03/06 08:46, 2018/03/06 10:0,3     11.,5 OBJ N/A,0.423,0.462, ----,- 13.30,12.96,12.9,0.0001, -----, Finder, P
Kepler-884 b,2018/03/06 09:28,2018/03/06 12:49,2018/03/06 09:14,2018/03/06 11:38,11.4, OBJ N/A,0.906,0.703,-----,11.93,11.6,11.55,0.0001,-----,Finder,P
Kepler-826 b,2018/03/06 09:26,2018/03/06 12:52,2018/03/06 09:43,2018/03/06 12:33,17.7, OBJ SUN,1,0.607,-----,12.37,12.06,12,0.0001,-----,Finder,P
Kepler-770 c,2018/03/06 09:35,2018/03/06 12:52,2018/03/06 10:32,2018/03/06 12:51,13.6, OBJ SUN,1,0.708,-----,13.39,13.01,12.92,0.0001,-----,Finder,P
Kepler-929 b,2018/03/06 10:24,2018/03/06 12:52,2018/03/06 11:40,2018/03/06 14:12,16.3, N/A SUN,0.479,0.49,-----,13.27,12.89,12.85,0.0001,-----,Finder,P
Kepler-908 b,2018/03/06 10:52,2018/03/06 12:52,2018/03/06 11:40,2018/03/06 13:17,7, N/A SUN,0.749,0.624,-----,10.41,10.04,9.99,0.0001,-----,Finder,P
Kepler-1222 b, 2018/03/06 10:57, 2018/03/06 12:52, 2018/03/06 11:41, 2018/03/06 13:0,9     15.,2 N/A SUN,0.817,0.659, ----,- 12.70,12.26,12.19,0.0001, -----, Finder, P
Kepler-1446 b, 2018/03/06 11:24, 2018/03/06 12:52, 2018/03/06 12:00, 2018/03/06 13:1,3      3.,5 N/A SUN,0.717,0.609, ----,- 10.80,10.3,10.2,0.0001, -----, Finder, P
Kepler-1340 b, 2018/03/06 11:34, 2018/03/06 12:52, 2018/03/06 12:26, 2018/03/06 14:1,1     11.,5 N/A SUN,0.251,0.376, ----,- 13.56,13.28,13.24,0.0001, -----, Finder, P
Kepler-625 c,2018/03/07 09:50,2018/03/07 12:11,2018/03/07 07:14,2018/03/07 10:32,14.9, OBJ N/A,0.21,0.355,-----,12.2,11.94,11.9,0.0001,-----,Finder,P
Kepler-520 c,2018/03/07 09:49,2018/03/07 12:51,2018/03/07 09:31,2018/03/07 12:49,11.3, OBJ SUN,0.907,0.459,-----,11.81,11.55,11.49,0.0001,-----,Finder,P
Kepler-607 b,2018/03/07 09:33,2018/03/07 11:18,2018/03/07 09:31,2018/03/07 10:42,12.7, OBJ N/A,0.973,0.737,-----,12.96,12.5,12.43,0.0001,-----,Finder,P
Kepler-929 b,2018/03/07 10:11,2018/03/07 12:51,2018/03/07 09:46,2018/03/07 12:18,16.3, OBJ SUN,0.838,0.529,-----,13.27,12.89,12.85,0.0001,-----,Finder,P
Kepler-1139 b, 2018/03/07 09:45, 2018/03/07 12:37, 2018/03/07 10:28, 2018/03/07 11:5,4      7.,4 N/A N/A,1,1, ----,- 12.75,12.35,12.34,0.0001, -----, Finder, P
Kepler-1100 b, 2018/03/07 09:38, 2018/03/07 12:51, 2018/03/07 10:46, 2018/03/07 13:2,6     16.,3 OBJ SUN,0.785,0.607, ----,- 12.76,12.49,12.46,0.0001, -----, Finder, P
Kepler-1579 b, 2018/03/07 10:17, 2018/03/07 12:28, 2018/03/07 10:50, 2018/03/07 11:5,5     16.,5 N/A N/A,1,1, ----,- 13.44,12.86,12.74,0.0001, -----, Finder, P
Kepler-1027 b, 2018/03/07 10:33, 2018/03/07 12:51, 2018/03/07 11:29, 2018/03/07 13:2,0      6.,2 N/A SUN,0.744,0.622, ----,- 11.54,11.23,11.12,0.0001, -----, Finder, P
Kepler-1387 b, 2018/03/07 11:37, 2018/03/07 12:51, 2018/03/07 12:25, 2018/03/07 14:0,1     18.,6 N/A SUN,0.276,0.388, ----,- 13.06,12.57,12.51,0.0001, -----, Finder, P
Kepler-1173 b, 2018/03/07 12:10, 2018/03/07 12:51, 2018/03/07 12:41, 2018/03/07 13:4,2      7.,4 N/A SUN,0.175,0.337, ----,- 12.42,11.98,11.88,0.0001, -----, Finder, P
Kepler-780 b,2018/03/08 08:53,2018/03/08 09:49,2018/03/08 07:05,2018/03/08 08:54,8.8, OBJ N/A,0.011,0.255,-----,12.21,11.89,11.82,0.0001,-----,Finder,P
Kepler-1525 b, 2018/03/08 09:12, 2018/03/08 10:46, 2018/03/08 07:49, 2018/03/08 09:4,7     10.,5 OBJ N/A,0.301,0.401, ----,- 11.57,11.28,11.19,0.0001, -----, Finder, P
Kepler-929 b,2018/03/08 10:07,2018/03/08 11:40,2018/03/08 07:52,2018/03/08 10:24,16.3, OBJ N/A,0.116,0.308,-----,13.27,12.89,12.85,0.0001,-----,Finder,P
Kepler-1104 b, 2018/03/08 09:29, 2018/03/08 12:15, 2018/03/08 09:25, 2018/03/08 11:1,8     13.,1 OBJ N/A,0.964,0.732, ----,- 11.21,11.01,10.97,0.0001, -----, Finder, P
Kepler-1222 b, 2018/03/08 09:31, 2018/03/08 11:53, 2018/03/08 09:41, 2018/03/08 11:0,9     15.,2 OBJ N/A,1,0.81, ----,- 12.70,12.26,12.19,0.0001, -----, Finder, P
Kepler-1409 b, 2018/03/08 10:17, 2018/03/08 12:38, 2018/03/08 10:52, 2018/03/08 12:0,3     15.,0 N/A N/A,1,1, ----,- 13.78,13.3,13.25,0.0001, -----, Finder, P
Kepler-1340 b, 2018/03/08 11:27, 2018/03/08 12:50, 2018/03/08 12:19, 2018/03/08 14:0,3     11.,5 N/A SUN,0.297,0.399, ----,- 13.56,13.28,13.24,0.0001, -----, Finder, P
Kepler-1067 b, 2018/03/09 09:01, 2018/03/09 10:45, 2018/03/09 09:08, 2018/03/09 10:1,2     17.,0 OBJ N/A,1,0.8, ----,- 13.11,12.78,12.66,0.0001, -----, Finder, P
Kepler-1027 b, 2018/03/09 09:16, 2018/03/09 12:02, 2018/03/09 09:16, 2018/03/09 11:0,7      6.,2 OBJ N/A,0.997,0.748, ----,- 11.54,11.23,11.12,0.0001, -----, Finder, P
Kepler-770 c,2018/03/09 09:23,2018/03/09 12:49,2018/03/09 09:20,2018/03/09 11:40,13.6, OBJ SUN,0.981,0.738,-----,13.39,13.01,12.92,0.0001,-----,Finder,P
Kepler-1031 b, 2018/03/09 09:33, 2018/03/09 12:49, 2018/03/09 09:59, 2018/03/09 12:0,8     17.,7 OBJ SUN,1,0.761, ----,- 12.70,12.4,12.35,0.0001, -----, Finder, P
Kepler-1117 b, 2018/03/09 09:53, 2018/03/09 12:49, 2018/03/09 11:15, 2018/03/09 13:5,9     18.,6 N/A SUN,0.572,0.536, ----,- 12.87,12.51,12.46,0.0001, -----, Finder, P
Kepler-1559 b, 2018/03/09 11:57, 2018/03/09 12:49, 2018/03/09 12:45, 2018/03/09 14:2,3     18.,7 N/A SUN,0.035,0.268, ----,- 13.15,12.73,12.63,0.0001, -----, Finder, P
Kepler-1258 b, 2018/03/09 11:50, 2018/03/09 12:49, 2018/03/09 12:49, 2018/03/09 14:4,6     15.,4 N/A SUN,0.003,0.251, ----,- 12.76,12.39,12.38,0.0001, -----, Finder, P
Kepler-915 b,2018/03/10 09:16,2018/03/10 11:33,2018/03/10 07:17,2018/03/10 10:08,14.7, OBJ N/A,0.301,0.401,-----,12.35,12.1,12.04,0.0001,-----,Finder,P
Kepler-780 b,2018/03/10 08:45,2018/03/10 10:35,2018/03/10 07:51,2018/03/10 09:40,8.8, OBJ N/A,0.504,0.502,-----,12.21,11.89,11.82,0.0001,-----,Finder,P
Kepler-757 b,2018/03/10 09:52,2018/03/10 10:48,2018/03/10 08:48,2018/03/10 10:08,11.5, OBJ N/A,0.199,0.349,-----,13.5,13.16,13.04,0.0001,-----,Finder,P
Kepler-1055 b, 2018/03/10 09:18, 2018/03/10 11:50, 2018/03/10 09:22, 2018/03/10 11:0,1      7.,2 OBJ N/A,1,0.769, ----,- 11.96,11.63,11.57,0.0001, -----, Finder, P
